question,answer,category
What are the admission requirements for undergraduate programs?,Applicants must have completed FSc or A-Levels with at least 50% marks. Entry test and interview may also be required.,Admission
How can I apply for admission?,Visit the university's official website and fill out the online application form during the admission period.,Admission
What is the last date for admission?,Admission deadlines vary by program. Check the official website for current semester deadlines.,Admission
Is there an entry test for admission?,Yes most programs require an entry test. Engineering and medical programs have mandatory entry tests.,Admission
What documents are required for admission?,Required documents include matriculation certificate FSc certificate domicile CNIC and passport-sized photographs.,Admission
What programs are offered at the university?,The university offers programs in Engineering Computer Science Business Administration Social Sciences and Natural Sciences.,Programs
Is there a computer science program available?,Yes the university offers BS Computer Science MS Computer Science and PhD Computer Science programs.,Programs
What is the duration of the BS program?,The BS program is typically four years consisting of eight semesters.,Programs
Are there evening programs available?,Yes the university offers evening programs for working professionals in select departments.,Programs
Does the university offer online degree programs?,Yes some programs are available in online or hybrid mode. Contact the admissions office for details.,Programs
What is the fee structure for BS programs?,Fee structures vary by program and are updated each semester. Visit the fee section on the official website.,Fees
Are there any scholarships available?,Yes the university offers merit-based need-based and government scholarships to eligible students.,Scholarships
How can I apply for a scholarship?,Fill out the scholarship application form available on the university portal during the designated period.,Scholarships
What GPA is required to maintain a scholarship?,A minimum GPA of 3.0 is generally required to maintain merit-based scholarships.,Scholarships
Is there a fee installment option?,Yes the university allows fee payment in two installments per semester upon request.,Fees
Where is the university located?,The university is located in Lahore Pakistan with multiple campuses in different areas of the city.,Location
What are the hostel facilities like?,The university provides separate hostels for male and female students with basic amenities included.,Facilities
Is there a transport facility available?,Yes the university provides transport routes covering major areas of the city.,Facilities
What library facilities are available?,The university has a central library with thousands of books journals and digital resources available to students.,Facilities
Are sports facilities available on campus?,Yes the campus has sports grounds for cricket football basketball and indoor games facilities.,Facilities
How many credit hours are required to complete a BS degree?,A BS degree requires completion of 130 to 136 credit hours depending on the program.,Academics
What is the grading system used?,The university uses a GPA-based grading system with a scale from 0 to 4.0.,Academics
Can I change my program after admission?,Program change requests can be submitted within the first two weeks of the semester subject to availability.,Academics
What happens if I fail a subject?,Failed subjects must be retaken in subsequent semesters. Repeated failure may result in academic probation.,Academics
How many courses can I take per semester?,Students typically take 5 to 6 courses per semester totaling 15 to 18 credit hours.,Academics
How do I register for courses each semester?,Course registration is done online through the student portal during the designated registration period.,Registration
Can I drop a course after registration?,Yes courses can be dropped within the first two weeks of the semester without academic penalty.,Registration
What is the process for semester freeze?,Students can apply for a semester freeze in case of medical or personal emergencies with supporting documents.,Registration
How do I get my transcript?,Official transcripts can be requested from the Examination Department with a processing fee.,Examination
What is the policy for makeup exams?,Makeup exams are only allowed in cases of medical emergencies with a valid medical certificate.,Examination
How do I contact the admissions office?,The admissions office can be reached via email phone or by visiting the campus during working hours.,Contact
What are the university working hours?,The university offices are open Monday to Saturday from 9 AM to 5 PM.,Contact
Is there a student counseling service?,Yes the university provides academic and psychological counseling services free of charge to all students.,Student Services
How do I get a student ID card?,Student ID cards are issued after completing the enrollment process. Visit the student affairs office.,Student Services
What clubs and societies are available?,The university has various clubs including debate literary tech sports and entrepreneurship societies.,Student Life
