question,answer,category,clean_question
What are the admission requirements for undergraduate programs?,Applicants must have completed FSc or A-Levels with at least 50% marks. Entry test and interview may also be required.,Admission,what are the admission requirements for undergraduate programs
How can I apply for admission?,Visit the university's official website and fill out the online application form during the admission period.,Admission,how can i apply for admission
What is the last date for admission?,Admission deadlines vary by program. Check the official website for current semester deadlines.,Admission,what is the last date for admission
Is there an entry test for admission?,Yes most programs require an entry test. Engineering and medical programs have mandatory entry tests.,Admission,is there an entry test for admission
What documents are required for admission?,Required documents include matriculation certificate FSc certificate domicile CNIC and passport-sized photographs.,Admission,what documents are required for admission
What programs are offered at the university?,The university offers programs in Engineering Computer Science Business Administration Social Sciences and Natural Sciences.,Programs,what programs are offered at the university
Is there a computer science program available?,Yes the university offers BS Computer Science MS Computer Science and PhD Computer Science programs.,Programs,is there a computer science program available
What is the duration of the BS program?,The BS program is typically four years consisting of eight semesters.,Programs,what is the duration of the bs program
Are there evening programs available?,Yes the university offers evening programs for working professionals in select departments.,Programs,are there evening programs available
Does the university offer online degree programs?,Yes some programs are available in online or hybrid mode. Contact the admissions office for details.,Programs,does the university offer online degree programs
What is the fee structure for BS programs?,Fee structures vary by program and are updated each semester. Visit the fee section on the official website.,Fees,what is the fee structure for bs programs
Are there any scholarships available?,Yes the university offers merit-based need-based and government scholarships to eligible students.,Scholarships,are there any scholarships available
How can I apply for a scholarship?,Fill out the scholarship application form available on the university portal during the designated period.,Scholarships,how can i apply for a scholarship
What GPA is required to maintain a scholarship?,A minimum GPA of 3.0 is generally required to maintain merit-based scholarships.,Scholarships,what gpa is required to maintain a scholarship
Is there a fee installment option?,Yes the university allows fee payment in two installments per semester upon request.,Fees,is there a fee installment option
Where is the university located?,The university is located in Lahore Pakistan with multiple campuses in different areas of the city.,Location,where is the university located
What are the hostel facilities like?,The university provides separate hostels for male and female students with basic amenities included.,Facilities,what are the hostel facilities like
Is there a transport facility available?,Yes the university provides transport routes covering major areas of the city.,Facilities,is there a transport facility available
What library facilities are available?,The university has a central library with thousands of books journals and digital resources available to students.,Facilities,what library facilities are available
Are sports facilities available on campus?,Yes the campus has sports grounds for cricket football basketball and indoor games facilities.,Facilities,are sports facilities available on campus
How many credit hours are required to complete a BS degree?,A BS degree requires completion of 130 to 136 credit hours depending on the program.,Academics,how many credit hours are required to complete a bs degree
What is the grading system used?,The university uses a GPA-based grading system with a scale from 0 to 4.0.,Academics,what is the grading system used
Can I change my program after admission?,Program change requests can be submitted within the first two weeks of the semester subject to availability.,Academics,can i change my program after admission
What happens if I fail a subject?,Failed subjects must be retaken in subsequent semesters. Repeated failure may result in academic probation.,Academics,what happens if i fail a subject
How many courses can I take per semester?,Students typically take 5 to 6 courses per semester totaling 15 to 18 credit hours.,Academics,how many courses can i take per semester
How do I register for courses each semester?,Course registration is done online through the student portal during the designated registration period.,Registration,how do i register for courses each semester
Can I drop a course after registration?,Yes courses can be dropped within the first two weeks of the semester without academic penalty.,Registration,can i drop a course after registration
What is the process for semester freeze?,Students can apply for a semester freeze in case of medical or personal emergencies with supporting documents.,Registration,what is the process for semester freeze
How do I get my transcript?,Official transcripts can be requested from the Examination Department with a processing fee.,Examination,how do i get my transcript
What is the policy for makeup exams?,Makeup exams are only allowed in cases of medical emergencies with a valid medical certificate.,Examination,what is the policy for makeup exams
How do I contact the admissions office?,The admissions office can be reached via email phone or by visiting the campus during working hours.,Contact,how do i contact the admissions office
What are the university working hours?,The university offices are open Monday to Saturday from 9 AM to 5 PM.,Contact,what are the university working hours
Is there a student counseling service?,Yes the university provides academic and psychological counseling services free of charge to all students.,Student Services,is there a student counseling service
How do I get a student ID card?,Student ID cards are issued after completing the enrollment process. Visit the student affairs office.,Student Services,how do i get a student id card
What clubs and societies are available?,The university has various clubs including debate literary tech sports and entrepreneurship societies.,Student Life,what clubs and societies are available
